Tiempo: 2.8588s, Fecha: 2017-06-28 19:57:22, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 172
Tiempo: 2.5593s, Fecha: 2017-06-28 19:59:56, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 172
Tiempo: 0.5756s, Fecha: 2017-06-28 20:00:18, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 172
Tiempo: 2.8986s, Fecha: 2017-06-28 20:00:29, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 172
Tiempo: 2.7966s, Fecha: 2017-06-28 20:01:15, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 152
Tiempo: 2.8369s, Fecha: 2017-06-28 20:04:42, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.7819s, Fecha: 2017-06-28 20:05:01, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.8480s, Fecha: 2017-06-28 20:05:41, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.7896s, Fecha: 2017-06-28 20:06:39, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.8118s, Fecha: 2017-06-28 20:07:03, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.9756s, Fecha: 2017-06-28 20:07:34, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.7906s, Fecha: 2017-06-28 20:08:01, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.7771s, Fecha: 2017-06-28 20:08:31, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 149
Tiempo: 2.8675s, Fecha: 2017-06-28 20:12:33, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 145
Tiempo: 2.7765s, Fecha: 2017-06-28 20:13:28, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 145
Tiempo: 2.8566s, Fecha: 2017-06-28 20:13:42, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 145
Tiempo: 2.7902s, Fecha: 2017-06-28 20:14:42, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 146
Tiempo: 2.7791s, Fecha: 2017-06-28 20:29:30, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 150
Tiempo: 4.8666s, Fecha: 2017-06-28 20:31:02, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 150
Tiempo: 0.0009s, Fecha: 2017-06-28 15:44:58, H: localhost, File: /var/www/html/minha/login.php, L: 133
Tiempo: 0.0021s, Fecha: 2017-06-28 15:45:00, H: localhost, File: /var/www/html/minha/core/authentication.php, L: 126
Tiempo: 0.0012s, Fecha: 2017-06-28 15:45:00, H: localhost, File: /var/www/html/minha/main.php, L: 165
Tiempo: 4.8629s, Fecha: 2017-06-28 20:45:12, H: localhost, File: /var/www/html/minha/core/functions.php, L: 38
Tiempo: 2.8220s, Fecha: 2017-06-28 21:14:24, H: localhost, File: /var/www/html/minha/core/functions.php, L: 38
Tiempo: 2.8023s, Fecha: 2017-06-28 21:19:56, H: localhost, File: /var/www/html/minha/core/functions.php, L: 38
Tiempo: 2.8369s, Fecha: 2017-06-28 21:25:46, H: localhost, File: /var/www/html/minha/core/functions.php, L: 38
Tiempo: 4.8254s, Fecha: 2017-06-28 21:26:58, H: localhost, File: /var/www/html/minha/core/functions.php, L: 38
Tiempo: 0.2026s, Fecha: 2017-06-28 16:29:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.1161s, Fecha: 2017-06-28 16:29:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0300s, Fecha: 2017-06-28 16:29:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0027s, Fecha: 2017-06-28 16:29:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.1122s, Fecha: 2017-06-28 16:29:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0166s, Fecha: 2017-06-28 16:29:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0332s, Fecha: 2017-06-28 16:32:46, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.2112s, Fecha: 2017-06-28 16:32:46, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.1554s, Fecha: 2017-06-28 16:32:47, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0382s, Fecha: 2017-06-28 16:32:47, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0225s, Fecha: 2017-06-28 16:32:47, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0087s, Fecha: 2017-06-28 16:32:47, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0021s, Fecha: 2017-06-28 16:33:04, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0348s, Fecha: 2017-06-28 16:33:04, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0162s, Fecha: 2017-06-28 16:33:04, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0533s, Fecha: 2017-06-28 16:33:04, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0022s, Fecha: 2017-06-28 16:33:04, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0036s, Fecha: 2017-06-28 16:33:04, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0030s, Fecha: 2017-06-28 16:44:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0029s, Fecha: 2017-06-28 16:44:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0027s, Fecha: 2017-06-28 16:44:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0032s, Fecha: 2017-06-28 16:44:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0018s, Fecha: 2017-06-28 16:44:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0710s, Fecha: 2017-06-28 16:44:21, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0020s, Fecha: 2017-06-28 16:44:27, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 178
Tiempo: 0.0025s, Fecha: 2017-06-28 16:45:54, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0019s, Fecha: 2017-06-28 16:45:54, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0020s, Fecha: 2017-06-28 16:45:54, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0230s, Fecha: 2017-06-28 16:45:54, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0022s, Fecha: 2017-06-28 16:45:54, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0033s, Fecha: 2017-06-28 16:45:54, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0035s, Fecha: 2017-06-28 16:53:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0052s, Fecha: 2017-06-28 16:53:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0214s, Fecha: 2017-06-28 16:53:35, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0143s, Fecha: 2017-06-28 16:53:35, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0024s, Fecha: 2017-06-28 16:53:35, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0020s, Fecha: 2017-06-28 16:53:35, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.6513s, Fecha: 2017-06-28 21:53:41, H: localhost, File: /var/www/html/minha/core/functions.php, L: 38
Tiempo: 0.6543s, Fecha: 2017-06-28 21:53:41, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.6183s, Fecha: 2017-06-28 22:12:14, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
Tiempo: 0.6184s, Fecha: 2017-06-28 22:12:14, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 182
Tiempo: 0.0019s, Fecha: 2017-06-28 17:24:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
Tiempo: 0.0370s, Fecha: 2017-06-28 17:24:34, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 159
